id,sentiment,tweet
1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696,sadness,Funeral ceremony...gloomy friday...
1956968416,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956969035,sadness,@charviray Charlene my love. I miss you
1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?
1956969456,neutral,cant fall asleep
1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956970860,surprise,Got the news
1956971077,sadness,The storm is here and the electricity is gone
1956971170,love,@annarosekerr agreed
1956971206,sadness,So sleepy again and it's not even that late. I fail once again.
1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956972116,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
1956975441,neutral,@cynthia_123 i cant sleep
1956975860,neutral,I missed the bl***y bus!!!!!!!!
1956975876,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
1956975927,neutral,SoCal!  stoked. or maybe not.. tomorrow
1956976187,neutral,Screw you @davidbrussee! I only have 3 weeks...
1956976312,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
1956976557,neutral,has work this afternoon
1956976681,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
1956979150,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
1956979437,neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
1956979756,neutral,wnna take a bath!!!!
1956979894,neutral,Chocolate milk is so much better through a straw. I lack said straw
1956980788,neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
1956980883,neutral,@benballer  no way! damn that sucks B!  are you ok?
1956981850,neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
1956982075,neutral,@lostluna But I got dibs on Sulu...
1956982383,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
1956982576,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
1956982605,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
1956983160,sadness,@Pokinatcha  in all honesty...pain   blech.
1956983171,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
1956983467,neutral,At home alone with not much to do
1956983690,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
1956983931,neutral,I cant give @jertronic any bday nudges.
1956984205,neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
1956984559,neutral,says I miss plurking.  http://plurk.com/p/wxion
1956984894,neutral,I miss Voobys!
1956985129,neutral,@Dancing_Monk Neither are ELP!!
1956985764,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
1956985973,neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
1956986211,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
1956986767,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
1956988145,neutral,@lepetitagneau what's going on sweetheart?
1956988218,neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
1956988477,neutral,@willxxmobb work at 6am. Gotta go to bed soon
1956989093,love,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
1956989514,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
1956989526,sadness,dont wanna work 11-830 tomorrow  but i get paid
1956989560,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
1956989561,neutral,PrinceCharming
1956990413,neutral,Oh is that time for real?
1956990568,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
1956991673,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956992030,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
1956992349,neutral,@justamedicine  That was stone cold   Crazy....  ?
1956993080,neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
1956993206,neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
1956994067,neutral,@thecreativeone I second that. I wish it rained more where I am
1956995196,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
1956995505,neutral,damn it were is Eric or anyone else when you need your hair to be played with
1956995679,neutral,I'm feel deflated. Ugh. No more dog.
1956995762,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
1956995852,neutral,Well it almost was a good day... Guess I just retry tomorrow
1956996385,love,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
1956996730,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
1956996776,sadness,Is miserable  i feel like im gona cry  sux!
1956997143,neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
1956997619,neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
1956998370,love,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
1956998532,sadness,*sigh* I'm going to bed... I just don't feel right anymore...
1956998538,neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
1956998698,neutral,@jwillock EpiCentre Wheelock Place - tourists only..
1956998704,sadness,Now I am depressed after watching so you think you can dance
1957000040,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
1957000077,neutral,miss 16'th
1957000152,neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
1957000314,neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
1957000372,neutral,what is it with chocolates? i just can never say no
1957001049,neutral,@ether_radio i'm too awake now  ill have a nap this afternoon
1957001496,neutral,still needs another 6 hours of sleep
1957001506,relief,I'm at work
